"#","RefDes","Value","Name","Manufacturer","Part Number (Digi-Key)","Quantity"
"103","TP_5VRegOut","","TestPoint","","","0"
"104","TP_ADDR_LED_HV","","TestPoint","","","1"
"105","TP_ADDR_LED_LV","","TestPoint","","","1"
"106","TP_FONT_~Select~","","TestPoint","","","1"
"107","TP_IMU_INT","","TestPoint","","","1"
"108","TP_IMU_~RST~","","TestPoint","","","1"
"109","TP_LCD_DC","","TestPoint","","","1"
"110","TP_LCD_~CS~","","TestPoint","","","1"
"111","TP_MEGA_~RST~","","TestPoint","","","1"
"112","TP_SAM_SWCLK","","TestPoint","","","1"
"113","TP_SAM_SWDIO","","TestPoint","","","1"
"114","TP_SAM_~RST~","","TestPoint","","","1"
"115","TP_SAMRX_MEGATX","","TestPoint","","","1"
"116","TP_SAMTX_MEGA_RX","","TestPoint","","","1"
"117","TP_SCL","","TestPoint","","","1"
"118","TP_SDA","","TestPoint","","","1"
"119","TP_SPI_CLK","","TestPoint","","","1"
"120","TP_SPI_MISO","","TestPoint","","","1"
"121","TP_SPI_MOSI","","TestPoint","","","1"
"122","TP_Switch_Battery","","TestPoint","","","0"
"123","TP_USB_ACTIVE","","TestPoint","","","0"
"124","TP_USB_VBUS","","TestPoint","","","0"
"125","TPS401","","TestPoint","","","1"
"126","TPS402","","TestPoint","","","1"
"127","TPS403","","TestPoint","","","1"
"128","TPS404","","TestPoint","","","1"
"129","TPS405","","TestPoint","","","1"
"130","U101","IC MCU 8BIT 32KB FLASH 32TQFP","ATMega328P-AU","ATMEGA328P-AU","","1"
"131","U201","MIC5219-3.3YM5-TR","MIC5219-3.3YM5-TR","Microchip","576-1281-6-ND","0"
"132","U202","MIC5219-5.0YM5-TR","MIC5219-5.0YM5-TR","Microchip","576-2770-6-ND","0"
"133","U501","","ATSAMD11C14A-SSNT","Atmel","ATSAMD11C14A-SSNTDKR-ND","1"
"134","U601","","BME280","Bosch-Sensortec","","1"
"135","U701","BNO055","BNO055","Bosch-Sensortec","828-1058-1-ND","1"
"136","U801","","MCP79400-I/SN","Microchip","MCP79400-I/SN-ND","1"
"137","Y1","32.768 kHz","MC-405","Epson MC-405  32.7680K-E3: ROHS","SER4311TR-ND","1"
"138","Y2","32.768 kHz","MC-405","Epson MC-405  32.7680K-E3: ROHS","SER4311TR-ND","1"
"139","Y3","16.00 MHz","ABM3-16.000MHZ","Abracon ABM3-16.000MHZ-B2-T","535-9103-1-ND","1"
"","","","","","","117"
